Bölüm_Adı;Fakülte_Adı;Öğrenci_Sayısı;Prof_Dr_Sayısı;Doç_Dr_Sayısı;Dr_Öğr_Gör_Sayısı;Araştırma_Gör_Sayısı;Öğr_Gör_Sayısı
Bilgi Güvenliği Teknolojisi;Ticari Bilimler Fakültesi;68;14;7;15;;29
Yönetim Bilişim Sistemleri;Ticari Bilimler Fakültesi;320;14;7;15;;29
Bilişim Sistemleri ve Teknolojileri;Ticari Bilimler Fakültesi;206;14;7;15;;29
Turizm İşletmeciliği;Ticari Bilimler Fakültesi;60;14;7;15;;29
Elektronik Ticaret ve Yönetimi;Ticari Bilimler Fakültesi;150;14;7;15;;29
Uluslararası Ticaret ve İşletmecilik ;Ticari Bilimler Fakültesi;386;14;7;15;;29
Elektrik-Elektronik Mühendisliği;Mühendislik Fakültesi;440;30;16;42;24;5
Bilgisayar Mühendisliği;Mühendislik Fakültesi;420;30;16;42;24;5
İnşaat Mühendisliği;Mühendislik Fakültesi;202;30;16;42;24;5
Biyomedikal Mühendisliği;Mühendislik Fakültesi;195;30;16;42;24;5
Kimya Mühendisliği;Mühendislik Fakültesi;160;30;16;42;24;5
Makine Mühendisliği;Mühendislik Fakültesi;398;30;16;42;24;5
Genetik ve Biyomühendisliği;Mühendislik Fakültesi;286;30;16;42;24;5
Endüstri Mühendisliği;Mühendislik Fakültesi;410;30;16;42;24;5
İşletme;İktisadi ve İdari Bilimler Fakültesi;384;17;15;15;7;30
Siyaset Bilimi;İktisadi ve İdari Bilimler Fakültesi;448;17;15;15;7;30
Kamu Yönetimi;İktisadi ve İdari Bilimler Fakültesi;180;17;15;15;7;30
Uluslararası İşletme Yönetimi;İktisadi ve İdari Bilimler Fakültesi;90;17;15;15;7;30
Diş Hekimliği;Diş Hekimliği Fakültesi;306;25;13;18;;17
Eczacılık ;Eczacılık Fakültesi;370;9;5;9;;1
İngilizce Öğretmenliği;Eğitim Fakültesi;259;6;4;18;8;4
İlköğretim Matematik Öğretmenliği;Eğitim Fakültesi;100;6;4;18;8;4
Özel Eğitim Öğretmenliği;Eğitim Fakültesi;125;6;4;18;8;4
Psikoloji;Fen-Edebiyat Fakültesi;368;33;10;29;;3
Felsefe;Fen-Edebiyat Fakültesi;60;33;10;29;;3
Matematik;Fen-Edebiyat Fakültesi;148;33;10;29;;3
Tarih;Fen-Edebiyat Fakültesi;120;33;10;29;;3
Sosyoloji;Fen-Edebiyat Fakültesi;144;33;10;29;;3
Gastronomi ve Mutfak Sanatları;Güzel Sanatlar Fakültesi;295;12;2;7;6;32
Sanat ve Kültür Yönetimi;Güzel Sanatlar Fakültesi;98;12;2;7;6;32
Hukuk ;Hukuk Fakültesi;484;15;3;11;14;9
Gazetecilik;İletişim Fakültesi;120;9;5;14;10;32
Radyo, Televizyon ve Sinema;İletişim Fakültesi;309;9;5;14;10;32
Reklam Tasarımı ve İletişimi;İletişim Fakültesi;240;9;5;14;10;32
Endüstriyel Tasarım;Mimarlık Fakültesi;243;6;1;14;7;7
İç Mimarlık;Mimarlık Fakültesi;435;6;1;14;7;7
Kentsel Tasarım ve Peyzaj;Mimarlık Fakültesi;56;6;1;14;7;7
Beslenme ve Diyetetik;Sağlık Fakültesi;360;5;1;11;10;8
Fizyoterapi ve Rehabilitasyon;Sağlık Fakültesi;276;5;1;11;10;8
Hemşirelik;Sağlık Fakültesi;356;5;1;11;10;8
Tıp;Tıp Fakültesi;392;67;26;39;27;1
Gümrük İşletme;Uygulamalı Bilimler Yüksekokulu;48;2;7;10;;5
Tarım Ticareti ve İşletmeciliği;Uygulamalı Bilimler Yüksekokulu;45;2;7;10;;5
Gayrimenkul Geliştirme ve Yönetimi;Uygulamalı Bilimler Yüksekokulu;49;2;7;10;;5
Yazılım Geliştirme;Uygulamalı Bilimler Yüksekokulu;144;2;7;10;;5
