Bölüm_Adı;Fakülte_Adı;Öğrenci_Sayısı;Dr_Öğr_Gör_Sayısı;Öğr_Gör_Sayısı;Doç_Dr_Sayısı;Prof_Dr_Sayısı;Araştırma_Gör_Sayısı
Bilgi Güvenliği Teknolojisi;Ticari Bilimler Fakültesi;68;15;29;7;14;
Yönetim Bilişim Sistemleri;Ticari Bilimler Fakültesi;320;15;29;7;14;
Bilişim Sistemleri ve Teknolojileri;Ticari Bilimler Fakültesi;206;15;29;7;14;
Turizm İşletmeciliği;Ticari Bilimler Fakültesi;60;15;29;7;14;
Elektronik Ticaret ve Yönetimi;Ticari Bilimler Fakültesi;150;15;29;7;14;
Uluslararası Ticaret ve İşletmecilik ;Ticari Bilimler Fakültesi;386;15;29;7;14;
Elektrik-Elektronik Mühendisliği;Mühendislik Fakültesi;440;42;5;16;30;24
Bilgisayar Mühendisliği;Mühendislik Fakültesi;420;42;5;16;30;24
İnşaat Mühendisliği;Mühendislik Fakültesi;202;42;5;16;30;24
Biyomedikal Mühendisliği;Mühendislik Fakültesi;195;42;5;16;30;24
Kimya Mühendisliği;Mühendislik Fakültesi;160;42;5;16;30;24
Makine Mühendisliği;Mühendislik Fakültesi;398;42;5;16;30;24
Genetik ve Biyomühendisliği;Mühendislik Fakültesi;286;42;5;16;30;24
Endüstri Mühendisliği;Mühendislik Fakültesi;410;42;5;16;30;24
İşletme;İktisadi ve İdari Bilimler Fakültesi;384;15;30;15;17;7
Siyaset Bilimi;İktisadi ve İdari Bilimler Fakültesi;448;15;30;15;17;7
Kamu Yönetimi;İktisadi ve İdari Bilimler Fakültesi;180;15;30;15;17;7
Uluslararası İşletme Yönetimi;İktisadi ve İdari Bilimler Fakültesi;90;15;30;15;17;7
Diş Hekimliği;Diş Hekimliği Fakültesi;306;18;17;13;25;
Eczacılık ;Eczacılık Fakültesi;370;9;1;5;9;
İngilizce Öğretmenliği;Eğitim Fakültesi;259;18;4;4;6;8
İlköğretim Matematik Öğretmenliği;Eğitim Fakültesi;100;18;4;4;6;8
Özel Eğitim Öğretmenliği;Eğitim Fakültesi;125;18;4;4;6;8
Psikoloji;Fen-Edebiyat Fakültesi;368;29;3;10;33;
Felsefe;Fen-Edebiyat Fakültesi;60;29;3;10;33;
Matematik;Fen-Edebiyat Fakültesi;148;29;3;10;33;
Tarih;Fen-Edebiyat Fakültesi;120;29;3;10;33;
Sosyoloji;Fen-Edebiyat Fakültesi;144;29;3;10;33;
Gastronomi ve Mutfak Sanatları;Güzel Sanatlar Fakültesi;295;7;32;2;12;6
Sanat ve Kültür Yönetimi;Güzel Sanatlar Fakültesi;98;7;32;2;12;6
Hukuk ;Hukuk Fakültesi;484;11;9;3;15;14
Gazetecilik;İletişim Fakültesi;120;14;32;5;9;10
Radyo, Televizyon ve Sinema;İletişim Fakültesi;309;14;32;5;9;10
Reklam Tasarımı ve İletişimi;İletişim Fakültesi;240;14;32;5;9;10
Endüstriyel Tasarım;Mimarlık Fakültesi;243;14;7;1;6;7
İç Mimarlık;Mimarlık Fakültesi;435;14;7;1;6;7
Kentsel Tasarım ve Peyzaj;Mimarlık Fakültesi;56;14;7;1;6;7
Beslenme ve Diyetetik;Sağlık Fakültesi;360;11;8;1;5;10
Fizyoterapi ve Rehabilitasyon;Sağlık Fakültesi;276;11;8;1;5;10
Hemşirelik;Sağlık Fakültesi;356;11;8;1;5;10
Tıp;Tıp Fakültesi;392;39;1;26;67;27
Gümrük İşletme;Uygulamalı Bilimler Yüksekokulu;48;10;5;7;2;
Tarım Ticareti ve İşletmeciliği;Uygulamalı Bilimler Yüksekokulu;45;10;5;7;2;
Gayrimenkul Geliştirme ve Yönetimi;Uygulamalı Bilimler Yüksekokulu;49;10;5;7;2;
Yazılım Geliştirme;Uygulamalı Bilimler Yüksekokulu;144;10;5;7;2;
